iter	Passed	Remaining
739	70427	24744
740	70510	24645
741	70586	24543
742	70693	24452
743	70819	24367
744	70899	24267
745	71001	24174
746	71117	24086
747	71222	23994
748	71355	23912
749	71461	23820
750	71559	23726
751	71669	23635
752	71752	23536
753	71883	23452
754	71979	23357
755	72075	23262
756	72172	23167
757	72277	23075
758	72365	22977
759	72492	22892
760	72599	22800
761	72702	22707
762	72804	22614
763	72915	22523
764	73026	22432
765	73125	22338
766	73230	22246
767	73343	22155
768	73451	22063
769	73556	21971
770	73672	21882
771	73768	21786
772	73857	21688
773	73968	21598
774	74077	21506
775	74201	21419
776	74312	21327
777	74431	21238
778	74607	21165
779	74749	21083
780	74916	21007
781	75036	20918
782	75138	20823
783	75244	20730
784	75345	20636
785	75453	20543
786	75554	20448
787	75664	20356
788	75756	20259
789	75868	20167
790	75969	20072
791	76089	19983
792	76214	19894
793	76298	19795
794	76422	19706
795	76530	19613
796	76634	19519
797	76757	19429
798	76877	19339
799	77000	19250
800	77103	19155
801	77223	19065
802	77333	18972
803	77458	18883
804	77570	18790
805	77662	18693
806	77782	18602
807	77884	18507
808	77985	18411
809	78095	18318
810	78228	18230
811	78343	18138
812	78491	18053
813	78601	17960
814	78710	17866
815	78823	17773
816	78920	17677
817	79022	17582
818	79122	17486
819	79228	17391
820	79342	17298
821	79440	17202
822	79553	17109
823	79661	17014
824	79754	16917
825	79886	16828
826	80015	16738
827	80149	16649
828	80258	16555
829	80352	16457
830	80451	16361
831	80562	16267
832	80657	16170
833	80758	16074
834	80864	15979
835	80971	15884
836	81079	15789
837	81208	15698
838	81328	15606
839	81428	15510
840	81522	15412
841	81634	15318
842	81746	15224
843	81857	15129
844	81967	15035
845	82046	14935
846	82146	14838
847	82251	14743
848	82348	14646
849	82444	14549
850	82561	14455
851	82681	14362
852	82814	14271
853	82921	14176
854	83034	14081
855	83147	13987
856	83245	13890
857	83350	13794
858	83479	13702
859	83575	13605
860	83694	13511
861	83792	13414
862	83887	13317
863	83991	13220
864	84106	13126
865	84223	13032
866	84323	12935
867	84444	12841
868	84537	12743
869	84648	12648
870	84753	12552
871	84855	12455
872	84968	12360
873	85074	12264
874	85181	12168
875	85292	12073
876	85415	11979
877	85535	11885
878	85647	11789
879	85768	11695
880	85866	11598
881	85973	11502
882	86083	11406
883	86206	11312
884	86294	11213
885	86405	11117
886	86514	11021
887	86618	10924
888	86716	10827
889	86819	10730
890	86928	10634
891	87069	10542
892	87194	10447
893	87323	10353
894	87433	10257
895	87544	10161
896	87665	10066
897	87780	9970
898	87878	9872
899	87977	9775
900	88088	9679
901	88191	9581
902	88290	9484
903	88422	9390
904	88534	9293
905	88652	9197
906	88752	9100
907	88855	9003
908	88997	8909
909	89120	8814
910	89228	8717
911	89324	8619
912	89431	8521
913	89553	8426
914	89680	8331
915	89814	8236
916	89958	8142
917	90061	8044
918	90169	7947
919	90263	7849
920	90381	7752
921	90512	7657
922	90624	7560
923	90730	7462
924	90842	7365
925	90962	7269
926	91098	7173
927	91225	7077
928	91346	6981
929	91475	6885
930	91596	6788
931	91705	6690
932	91816	6593
933	91936	6496
934	92016	6396
935	92137	6300
936	92242	6201
937	92343	6103
938	92440	6005
939	92543	5907
940	92631	5807
941	92727	5709
942	92825	5610
943	92925	5512
944	93005	5413
